,PrecoInicial
BIDU,83.05999755859375
BABA,114.75
0700.HK,498.3999938964844
0020.HK,1.3799999952316284
002230.SZ,45.93231201171875
0981.HK,40.099998474121094
688256.SS,603.6599731445312
002747.SZ,19.219999313354492
300024.SZ,16.15999984741211
688041.SS,136.1300048828125
