,PrecoInicial
BIDU,93.3000030517578
BABA,116.97000122070312
0700.HK,517.5
0020.HK,1.659999966621399
002230.SZ,47.2400016784668
0981.HK,45.59999847412109
688256.SS,553.0999755859375
002747.SZ,20.57999992370605
300024.SZ,17.020000457763672
688041.SS,136.6999969482422
