,PrecoInicial
BIDU,87.25
BABA,115.95999908447266
0700.HK,509.5
0020.HK,1.5
002230.SZ,47.79834747314453
0981.HK,40.099998474121094
688256.SS,597.5499877929688
002747.SZ,19.469999313354492
300024.SZ,16.489999771118164
688041.SS,138.35000610351562
