Ticker,PrecoInicial
0020.HK,1.4600000381469727
002230.SZ,47.13999938964844
002747.SZ,19.889999389648438
0700.HK,501.5
0981.HK,43.54999923706055
300024.SZ,16.75
688041.SS,135.55999755859375
688256.SS,545.0999755859375
BABA,110.70999908447266
BIDU,86.44000244140625
